Slots,Pair,Events,Fraction (%),μ (ps),μ err (ps),CFD50 fit (ps),CFD50 fit err,CFD50 std (ps),CFD50 std err,Best fit CFD,Best fit (ps),Best fit err,Best std CFD,Best std (ps),Best std err
1-2,ch0-ch10,621,1.1130628047031832,5.083743548822899,4.812293529798182,81.09708024156987,2.7896954411339774,79.55303147370074,2.2907784016470085,50/80,51.16802637718778,5.1955458066335085,75/80,52.45949632129649,6.66236269517068
1-2,ch0-ch11,226,0.4050759965586464,17.065885088505084,7.146273818557943,67.39556102241649,4.480832822459948,66.17800161437377,3.1839905872075156,25/85,51.21621412164544,10.215493890839767,70/85,51.086957409187875,8.077557207052413
1-2,ch1-ch10,363,0.6506309148264984,0.37670132616177965,5.8290623946976226,71.53217343229566,3.3408699461685996,67.36127162422862,2.57562259402111,85/45,45.363962899748685,5.9431911853936015,65/80,53.6001910799544,6.919754913539958
1-2,ch1-ch11,8703,15.599010610840264,13.032904096341353,1.156823957475375,75.32340352879781,0.6511128996572635,73.58546135673045,0.5631833620086564,85/80,63.267406951172276,2.2897627648241508,85/70,66.8939224883745,1.549400560032665
1-2,ch1-ch12,306,0.5484657298537424,7.910412396582311,6.401075439945419,73.19691183291205,3.888912077680422,78.95291209858911,3.223239139139265,65/30,57.366487315802395,3.501517697467665,80/80,50.57104601556917,7.803281811289424
1-2,ch1-ch17,1421,2.546960137654144,-0.4678792671595934,2.8716404414968584,73.52415536026194,1.7629157303661416,73.97542021119096,1.4000054742297652,70/10,65.64527239201973,1.882446446771743,70/10,64.45285665839505,1.6103152837258332
1-2,ch1-ch18,1481,2.654502437625466,11.400753409384013,2.9298841807263076,77.33203799517395,1.6796330139734672,75.3773287958598,1.4060389804743982,65/85,43.643791731018055,3.9298043757734993,85/75,56.654375042640325,5.129246111058084
1-2,ch2-ch11,175,0.31366504158302266,-30.497051971636218,12.583256352293127,105.22975885165243,7.194970927744266,100.28232236776398,5.454639244567793,15/30,45.453373178784936,5.4854961923178855,80/55,64.56069280129267,8.6272854684
1-2,ch2-ch12,140,0.2509320332664181,25.844311298753762,9.919866796121664,74.13130616219856,5.999379833960546,76.40670035749524,4.582569360164629,80/45,57.954818784605834,18.83040483755219,80/25,46.231428406976384,7.133664276729073
1-2,ch2-ch13,44,0.07886435331230283,-56.50440161374566,31.395465586689557,87.28507977960459,19.591066821340974,74.17779532092591,8.293329637932807,25/50,79.48946375899745,26.652796414987826,30/25,59.73226167993728,8.807041507646154
